postal_code,lat,lon
14542,52.3798395,12.8757313
14547,52.2224287,12.9852422
14612,52.5780985,13.0933244
14641,52.6124679,12.8112099
14712,52.6091629,12.3256241
14770,52.4059608,12.513016
14772,52.4404737,12.506984
14806,52.1701933,12.5688903
14913,51.9567155,13.0739995
14929,52.0833855,12.8785242
14943,52.0804537,13.1654683
14974,52.2920028,13.253629
15230,52.33654,14.5543938
15232,52.3292869,14.542718
15236,52.2955837,14.5137509
15306,52.5107631,14.3832235
15344,52.5588942,13.9042481
15517,52.3747712,14.0669071
15526,52.2667047,14.0365408
15537,52.4146236,13.872197
15562,52.4742676,13.790078
15569,52.4488731,13.755737
15711,52.2865051,13.6217439
15755,52.1190982,13.5971117
15848,52.177961,14.2064491
15890,52.1599916,14.5711772
15907,51.9453954,13.9023894
15926,51.8279014,13.6867281
16225,52.8292295,13.8384643
16259,52.7843154,14.0630737
16269,52.7106825,14.0936018
16278,53.0457207,13.9925994
16303,53.0795487,14.2322027
16321,52.6827493,13.5875483
16515,52.7711793,13.2878028
16547,52.7037022,13.3242209
16761,52.6317922,13.2066432
16766,52.7991051,13.0537353
16775,52.9932076,13.1180592
16816,52.9176937,12.7764548
16866,52.987535,12.3181106
16909,53.1680073,12.5041608
16928,53.1445312,12.0780031
17034,53.5783746,13.2852156
17036,53.5408559,13.315415
17087,53.6988236,13.2475381
17109,53.9219576,13.0164477
17139,53.7174933,12.746171
17166,53.7373715,12.547949
17192,53.5104321,12.7539084
17207,53.3618037,12.6048606
17235,53.3364758,13.0891908
17268,53.1688707,13.6047164
17291,53.2867057,13.9075293
17309,53.5157562,14.0081864
17373,53.728489,14.0309531
17389,53.849048007,13.696739903
17438,54.0261416,13.7004713
17475,54.0880856,13.406734
17489,54.0837429,13.3599418
17491,54.0737679,13.4228043
17495,53.9854471,13.566041
18055,54.0859441,12.1622629
18057,54.0923611,12.1137908
18059,54.0278805,12.0707327
18069,54.103286,12.0470989
18107,54.1509015,11.9998073
18146,54.1595363,12.1593857
18147,54.1309902,12.1196962
18209,54.1036929,11.8909443
18246,53.8869645,11.9706684
18258,53.931192,12.0798916
18273,53.7940495,12.1889312
18311,54.2464404,12.3651522
18435,54.32997,13.0649961
18437,54.30153,13.053093
18439,54.2821271,13.0970837
18507,54.122824,13.0576479
18516,54.081197,13.159488
18528,54.4494489,13.4144592
19049,,
19055,53.655925,11.4375455
19067,53.6993535,11.5362197
19089,53.5636375,11.6860386
19205,53.6956901,11.0498404
19230,53.4085819,11.2327436
19258,53.4188717,10.7497587
19288,53.3477195,11.4794275
19322,53.01136,11.7442422
19348,53.075548,11.8212016
19370,53.4366565,11.8483887
19395,53.45758,12.2391215
19406,53.686373,11.9002621
20099,53.5579773,10.0110185
20246,53.592174,9.9785339
20251,53.5901078,9.976864
20259,53.571374,9.9589336
20357,53.5642527,9.9678986
20359,53.5513888,9.9652207
20459,53.5463124,9.9786564
21029,53.4822303,10.2217542
21031,53.5060557,10.2037075
21033,53.5053691,10.151801
21075,53.4592262,9.9317963
21107,53.4996901,9.9717987
21149,53.4526286,9.8618726
21224,53.3961372,9.8800515
21244,53.3118099,9.8484768
21266,53.3057419,9.9400615
21339,53.2548482,10.3911518
21423,53.3600606,10.2470297
21465,53.529425,10.271498
21493,53.5414573,10.504079
21502,53.4406215,10.3908218
21514,53.5056247,10.6791531
21614,53.4611745,9.6871791
21680,53.5904569,9.4760161
21682,53.6054195,9.4612608
21762,53.7924202,8.8740395
22043,53.5706666,10.1138997
22049,53.586589,10.0694353
22081,53.5749807,10.046372
22085,53.5736446,10.0143053
22087,53.5633053,10.0240498
22111,53.5496113,10.0818825
22115,53.5280391,10.1471451
22149,53.5886077,10.1696782
22297,53.6075147,10.0129872
22303,53.5897407,10.0234361
22307,53.5989893,10.0448058
22309,53.6106081,10.0554348
22337,53.6228371,10.0541373
22359,53.6552128,10.1664385
22415,53.6468629,10.0071084
22417,53.6667862,10.0394606
22419,53.6662872,10.0055952
22457,53.6422471,9.9175116
22549,53.5836594,9.8576561
22559,53.5931973,9.7642319
22587,53.5651054,9.8020148
22609,53.5580877,9.8507315
22761,53.5698296,9.9142777
22763,53.550853,9.9138756
22767,53.5514567,9.9475553
22844,53.7267292,9.9895164
22846,53.70487,9.9722409
22926,53.6692507,10.2146976
22927,53.6661335,10.280586
22941,53.7285885,10.2437777
23538,,
23552,53.8672062,10.6879337
23554,53.889632,10.6772133
23560,53.8200252,10.6290833
23562,53.8279733,10.7237679
23564,53.8518229,10.69483
23566,53.8719987,10.736559
23570,53.9455785,10.8688211
23611,53.9275089,10.7116648
23701,54.1196445,10.6400269
23714,54.1843504,10.5684524
23730,54.1209473,10.841969
23758,54.2979355,10.839016
23769,54.4685201,11.1342465
23774,54.3671598,10.9784968
23795,53.945365,10.3055828
23843,53.809755,10.3634544
23863,53.7709782,10.1758288
23879,53.6144951,10.6930445
23909,53.7067922,10.7733044
23932,,
23936,53.8557144,11.1746851
23966,53.8267988,11.3338674
23970,53.9016827,11.6015381
24103,54.3227662,10.136053
24105,54.3378072,10.1450606
24106,54.3606436,10.121509
24113,54.2851832,10.0799527
24114,54.3134389,10.1198148
24116,54.3281044,10.1145333
24119,54.3379289,10.088503
24143,54.3102622,10.1481248
24147,54.3026634,10.176156
24149,54.3321587,10.1883738
24211,54.2308791,10.2898555
24223,54.2745022,10.2417765
24306,54.1620728,10.4375556
24340,54.4685493,9.8090279
24351,54.5855954,9.8985463
